day_index,date,time,channel,content_pillar,objective,audience,topic,angle,title,content,image_brief,hashtags,cta,approval_status,source_refs
11,2026-07-31,08:00,facebook,knowledge,reach,Khach hang thich meo nhanh,Su that it nguoi de y,Mo dau bang myth busting,Mot hieu lam pho bien khi chon san pham,Noi dung neu 1 hieu lam va giai thich bang ngon ngu de hieu. Giu tone khach quan va co loi khuyen thuc te.,Anh myth vs fact hai cot mau sang,#hieuDung #kienThucSanPham #mythFact,Ban tung nghe dieu nay chua,draft,notebook:product
12,2026-08-01,08:00,facebook,case_study,repeat_purchase,Khach hang cu,Tai sao khach quay lai,Nhan man trai nghiem lap lai,Vi sao nhieu khach chon mua lai,Viet bai dua tren ly do mua lai: on dinh tien loi va hop nhu cau. Khong cong bo thong tin ca nhan.,Anh san pham lap lai trong gio hang voi cam giac than quen,#khachMuaLai #traiNghiemOnDinh #camOn,Ban muon minh giu uu dai cho lan sau khong,draft,crm:repeat_purchase
13,2026-08-02,08:00,facebook,behind_scene,education,Khach hang can niem tin,Cach doi ngu tu van,Ke ve cach lang nghe khach hang,Chung toi dat cau hoi truoc khi tu van,Noi dung noi ve viec hoi nhu cau truoc khi goi y san pham. Tao cam giac duoc lang nghe.,Anh nhan vien dang ghi chu nhu cau khach hang,#tuVanCoTam #langNgheKhachHang #dichVu,Ban can tu van theo nhu cau nao,draft,notebook:service
14,2026-08-03,08:00,facebook,knowledge,reach,Khach hang thich checklist,Checklist mua hang thong minh,Tao noi dung de luu lai,Checklist 5 buoc truoc khi dat mua,Noi dung dang checklist ngan gon: nhu cau ngan sach so luong thoi gian giao va cach bao quan.,Anh checklist voi o tick va san pham minh hoa,#checklistMuaHang #muaThongMinh #luuLai,Ban muon nhan file checklist khong,draft,notebook:faq
15,2026-08-04,08:00,facebook,review,inbox,Khach hang dang can so sanh,Review theo tieu chi gia tri,Dua diem manh diem can luu y,Review khach quan: phu hop voi ai,Noi dung neu san pham phu hop voi nhom nao va khong phu hop voi truong hop nao. Tang niem tin bang su trung thuc.,Anh review card voi muc phu hop va can luu y,#reviewTrungThuc #phuHopVoiAi #tuVan,Noi nhu cau cua ban minh noi co phu hop khong,draft,notebook:product
16,2026-08-05,08:00,facebook,soft_sell,lead,Khach hang muon dat nhanh,Thong bao ton kho nhe,Noi ve lua chon con san,Hom nay nen chon mau/goi nao,Noi dung cap nhat lua chon dang co san va goi y dat truoc. Khong tao khan hiem gia.,Anh ke hang gon gang co nhan con san,#hangCoSan #goiYHomNay #datHang,Inbox de minh kiem tra ton cho ban,draft,price_sheet:current
17,2026-08-06,08:00,facebook,faq,education,Khach hang thac mac ve gia,Vi sao gia khac nhau,Giai thich thanh phan gia tri,Vi sao cung mot loai ma gia khac nhau,Noi dung giai thich cac yeu to anh huong gia: chat luong dong goi dich vu giao hang va cam ket.,Anh infographic cac yeu to tao nen gia tri,#giaiThichGia #minhBach #hoiDap,Ban muon so sanh muc gia nao,draft,price_sheet:current
18,2026-08-07,08:00,facebook,knowledge,reach,Khach hang quan tam suc khoe,Thoi quen su dung dung cach,Dua loi khuyen nhe,Thoi quen nho giup dung san pham hieu qua hon,Noi dung chia se thoi quen dung san pham dung cach hang ngay va loi ich thuc te. Khong dua claim y te neu khong co nguon.,Anh lifestyle sang gon co san pham trong boi canh thuc te,#thoiQuenTot #dungDungCach #songKhoe,Ban co thoi quen nao muon chia se khong,draft,notebook:usage
19,2026-08-08,08:00,facebook,case_study,lead,Khach hang doanh nghiep,Cau chuyen xu ly don hang,Ke case dang tin,Tu mot yeu cau gap den don hang on dinh,Noi dung ke case xu ly mot don hang theo nhu cau thoi gian va so luong. An danh thong tin khach.,Anh quy trinh tu yeu cau den giao hang voi 3 buoc,#caseStudy #xuLyDonHang #uyTin,Can len don theo so luong rieng hay khong,draft,crm:case
20,2026-08-09,08:00,facebook,behind_scene,reach,Khach hang thich thuong hieu,Ngay lam viec tai cua hang,Hinh anh doi ngu that,Mot ngay chuan bi don cho khach,Noi dung hau truong chuan bi don kiem tra va dong goi. Tone gan gui than thien.,Anh doi ngu chuan bi don hang anh sang that,#motNgayLamViec #hauTruong #doiNgu,Ban muon xem hau truong nao tiep theo,draft,notebook:process
21,2026-08-10,08:00,facebook,knowledge,education,Khach hang can quyet dinh,Huong dan chon theo hoan canh,Dua framework don gian,Chon san pham theo 3 tinh huong su dung,Noi dung chia thanh 3 tinh huong: dung thu dung hang ngay va mua cho gia dinh/nhom. Moi tinh huong co goi y rieng.,Anh 3 tinh huong su dung voi icon minh hoa,#huongDanChon #theoNhuCau #kienThuc,Ban thuoc tinh huong nao trong 3 nhom nay,draft,notebook:product
22,2026-08-11,08:00,facebook,review,reach,Khach hang dang do du,Review sau 7 ngay su dung,Dang nhat ky trai nghiem,Sau 7 ngay su dung co gi dang chu y,Noi dung dang review trai nghiem sau 7 ngay: diem thich diem can luu y va loi khuyen mua dung nhu cau.,Anh nhat ky 7 ngay voi san pham va note nho,#review7Ngay #traiNghiemThat #muaDung,Ban muon minh lam series 7 ngay khong,draft,crm:feedback
23,2026-08-12,08:00,facebook,soft_sell,inbox,Khach hang co nhu cau qua tang,Goi y mua lam qua,Dua ngu canh dung,Qua thiet thuc cho nguoi than,Noi dung goi y san pham lam qua bang cach nhan man tinh thiet thuc va de dung. CTA tu van theo ngan sach.,Anh hop qua don gian am ap co san pham chinh,#quaThietThuc #goiYQuaTang #tuVan,Noi ngan sach minh goi y set phu hop,draft,price_sheet:current
24,2026-08-13,08:00,facebook,faq,education,Khach hang moi theo doi,FAQ van chuyen va doi tra,Tra loi ro rang ngan gon,Van chuyen doi tra va nhung dieu can biet,Noi dung tra loi 4 cau hoi ve giao hang doi tra thanh toan va ho tro. Khong hua qua chinh sach that.,Anh FAQ card 4 cau hoi dich vu,#faqDichVu #vanChuyen #hoTro,Comment khu vuc cua ban minh kiem tra giao hang,draft,notebook:policy
25,2026-08-14,08:00,facebook,knowledge,reach,Khach hang thich thong tin ngan,3 loi khuyen trong 60 giay,Dang micro content,3 dieu nen nho khi chon san pham,Noi dung that ngan 3 bullet de doc nhanh. Moi nguoi luu bai khi can mua.,Anh social card 3 bullet to ro de doc tren mobile,#3DieuNenNho #microContent #luuLai,Ban muon minh lam ban checklist PDF khong,draft,notebook:faq
26,2026-08-15,08:00,facebook,case_study,repeat_purchase,Khach hang than thiet,Kich ban cham soc sau mua,Nhan man hau mai,Sau khi mua chung toi ho tro gi,Noi dung noi ve cach cham soc sau mua: huong dan bao quan nhac mua lai va ho tro khi co cau hoi.,Anh cham soc khach hang sau mua co icon message,#hauMai #chamSocKhachHang #muaLai,Ban muon nhan nhac lich mua lai khong,draft,crm:care
27,2026-08-16,08:00,facebook,behind_scene,education,Khach hang quan tam cam ket,Cam ket chat luong,Noi ve tieu chuan noi bo,Dieu chung toi kiem tra truoc khi giao,Noi dung liet ke cac diem kiem tra truoc khi giao hang. Tranh dung ngon tu tuyet doi neu khong co chung cu.,Anh checklist kiem tra truoc giao hang,#camKetChatLuong #kiemTra #minhBach,Ban muon chung toi kiem tra them diem nao,draft,notebook:process
28,2026-08-17,08:00,facebook,knowledge,lead,Khach hang dang so sanh,Huong dan tinh nhu cau so luong,Giup khach tu uoc tinh,Mua bao nhieu la vua du,Noi dung huong dan uoc tinh so luong theo so nguoi thoi gian su dung va tan suat. CTA gui thong tin de tinh giup.,Anh bang uoc tinh so luong don gian,#uocTinhNhuCau #muaVuaDu #tuVan,Gui so nguoi va thoi gian minh tinh giup,draft,notebook:calculator
29,2026-08-18,08:00,facebook,review,reach,Khach hang can bang chung,Trich review ngan an danh,Dua social proof an toan,Khach noi gi sau khi dung thu,Noi dung tong hop 3 nhan xet an danh ve trai nghiem. Khong neu ten so dien thoai hay thong tin rieng.,Anh quote card 3 nhan xet ngan,#phanHoiKhachHang #socialProof #traiNghiem,Ban muon xem them phan hoi ve diem nao,draft,crm:feedback
30,2026-08-19,08:00,facebook,soft_sell,inbox,Khach hang cuoi chu ky,Tong ket 30 ngay va CTA,Tong hop gia tri da chia se,30 ngay qua ban da biet them dieu gi,Noi dung tong ket cac chu de da chia se va moi khach inbox neu muon duoc tu van theo nhu cau rieng.,Anh collage 4 chu de noi bat trong thang,#tongKetThang #kienThucHuuIch #inboxTuVan,Inbox minh neu ban muon nhan goi y rieng,draft,notebook:summary
